event,lepton_index,pid,pT,eta,phi
0,0,|,|,|,|
0,1,|,|,|,|
0,2,|,|,|,|
0,3,|,|,|,|
0,4,|,|,|,|
0,5,|,|,|,|
0,6,|,|,|,|
0,7,|,|,|,|
0,8,|,|,|,|
0,9,|,|,|,|
0,10,|,|,|,|
0,11,|,|,|,|
0,12,|,|,|,|
0,13,|,|,|,|
0,14,|,|,|,|
25,0,-11,17.019,-2.648,-0.419
25,1,11,34.540,-2.861,2.981
25,2,13,8.513,-1.125,2.048
25,3,-13,14.463,-2.096,-2.498
26,0,13,14.239,2.358,-0.901
26,1,-13,8.956,0.794,-2.128
26,2,-13,11.579,2.347,2.369
26,3,13,28.208,0.200,-1.422
26,4,11,0.007,-2.088,1.704
26,5,-11,0.110,-2.188,1.621
26,6,-13,1.079,-0.208,1.649
26,7,11,0.034,4.813,2.105
26,8,-11,0.085,4.596,2.489
27,0,13,50.025,-0.741,2.828
27,1,-13,6.646,-0.637,-2.469
27,2,11,27.961,-2.222,-0.116
27,3,-11,17.442,-1.085,0.210
28,0,13,25.357,-0.626,-0.007
28,1,-13,4.971,0.725,-2.301
28,2,11,41.241,-0.843,-0.275
28,3,-11,55.071,-0.393,2.088
28,4,11,0.013,0.677,0.481
28,5,-11,0.107,0.814,0.441
29,0,11,64.611,-0.280,-0.526
29,1,-11,60.831,-0.805,-0.709
29,2,13,10.293,-1.041,-1.873
29,3,-13,86.766,0.150,-0.154
29,4,11,0.018,-3.141,1.628
29,5,-11,0.329,-3.122,1.615
30,0,-11,31.772,-0.188,0.891
30,1,11,16.835,-0.565,-0.425
30,2,13,51.994,0.064,-0.173
30,3,-13,31.781,-0.506,3.107
30,4,-11,0.458,-0.444,-2.888
31,0,13,68.065,1.653,-0.782
31,1,-13,22.179,0.445,2.703
31,2,11,11.152,0.093,-0.813
31,3,-11,10.840,0.884,2.039
31,4,11,0.038,2.170,-2.648
31,5,-11,0.002,2.263,-1.135
31,6,11,0.031,-1.209,2.452
31,7,-11,0.156,-0.988,2.458
32,0,11,12.472,-1.243,1.720
32,1,-11,23.791,0.508,-1.811
32,2,13,31.869,0.394,-2.301
32,3,-13,23.953,-1.305,0.287
32,4,11,0.128,0.168,-0.620
32,5,-11,0.063,0.169,-0.616
32,6,11,0.038,1.275,-0.553
32,7,-11,0.028,1.294,-0.520
33,0,11,47.071,-1.342,-0.184
33,1,-11,41.607,-0.737,2.648
33,2,11,4.294,-1.894,-2.898
33,3,-11,7.867,-3.093,-1.175
34,0,-11,2.026,-2.877,0.626
34,1,11,6.648,-1.123,-1.382
34,2,-13,89.002,-0.329,0.304
34,3,13,24.771,-0.739,2.819
34,4,11,0.463,-3.888,0.533
34,5,-11,0.460,-3.897,0.535
35,0,11,24.782,-1.930,0.344
35,1,-11,15.759,-1.714,-2.092
35,2,11,28.788,-3.294,2.898
35,3,-11,37.662,-1.903,-1.354
35,4,11,0.094,2.898,-1.123
35,5,-11,0.149,2.989,-0.964
35,6,11,0.151,-4.248,-0.076
35,7,-11,0.068,-4.240,-0.082
35,8,11,0.000,1.965,0.735
35,9,-11,0.017,1.431,1.273
36,0,-13,23.753,2.363,-2.477
36,1,13,4.151,0.707,-0.142
36,2,11,30.626,1.119,-1.351
36,3,-11,39.302,2.657,1.663
36,4,11,0.012,1.218,-1.268
36,5,-11,0.229,1.194,-1.180
36,6,11,0.142,-0.903,1.320
36,7,-11,0.119,-0.990,1.379
36,8,11,0.018,2.421,-1.039
36,9,-11,0.020,2.326,-0.914
36,10,11,0.023,0.704,1.491
36,11,-11,0.070,0.474,1.942
37,0,13,14.191,0.273,-1.848
37,1,-13,16.357,0.664,0.230
37,2,-11,48.373,0.818,-2.733
37,3,11,40.500,1.217,0.700
37,4,11,0.040,5.402,2.226
37,5,-11,0.075,5.324,2.086
37,6,11,0.231,4.834,0.396
37,7,-11,0.130,4.851,0.377
37,8,11,0.023,-1.299,0.846
37,9,-11,0.079,-1.289,0.951
38,0,13,22.512,-0.239,0.928
38,1,-13,5.086,-1.770,2.726
38,2,-11,0.950,-2.320,-1.769
38,3,11,13.293,1.765,0.354
39,0,-11,52.123,0.882,-0.914
39,1,11,38.447,0.790,2.312
39,2,-11,16.385,1.465,-2.942
39,3,11,12.509,0.440,0.643
39,4,11,0.054,2.939,-3.034
39,5,-11,0.056,2.780,-2.820
40,0,11,5.802,-1.552,1.313
40,1,-11,28.975,0.274,2.124
40,2,13,52.928,0.424,1.325
40,3,-13,43.129,0.128,-2.627
40,4,11,0.253,-2.802,-2.335
40,5,-11,0.050,-2.828,-2.541
40,6,11,0.006,1.370,-2.578
40,7,-11,0.009,1.670,-3.118
41,0,13,21.261,1.934,-1.086
41,1,-13,12.105,1.414,2.627
41,2,11,35.648,2.027,-1.149
41,3,-11,52.441,1.529,1.774
41,4,11,0.054,-3.119,0.308
41,5,-11,0.029,-3.081,0.338
42,0,11,107.937,1.026,-2.933
42,1,-11,5.144,3.740,-3.029
42,2,11,5.324,2.363,1.583
42,3,-11,47.702,1.771,2.949
42,4,11,0.776,2.040,1.754
42,5,11,0.029,1.515,-0.218
42,6,-11,0.402,1.580,-0.353
43,0,11,12.273,3.200,-1.874
43,1,-11,49.089,0.448,-1.261
43,2,13,34.670,1.443,-1.005
43,3,-13,6.074,2.588,-2.559
43,4,11,0.096,-0.307,-0.003
43,5,-11,0.054,1.055,-0.092
44,0,13,66.970,-0.788,0.300
44,1,-13,27.899,-0.941,-0.448
44,2,-13,28.129,-0.056,0.350
44,3,13,213.183,-1.110,0.190
45,0,11,38.182,-0.518,-1.562
45,1,-11,52.730,-1.182,1.037
45,2,-13,14.209,-1.438,2.421
45,3,13,16.595,-1.101,-0.213
46,0,-13,21.931,2.144,2.852
46,1,13,4.284,1.763,0.925
46,2,11,29.849,2.282,-0.438
46,3,-11,79.097,2.886,1.705
46,4,11,0.076,-1.408,2.013
46,5,-11,0.014,-1.420,1.933
46,6,11,0.057,1.455,1.461
46,7,-11,0.013,1.487,1.503
46,8,11,0.085,4.409,-0.873
46,9,-11,0.191,4.416,-0.812
46,10,11,1.301,2.824,2.274
46,11,-11,1.139,2.838,2.225
47,0,13,48.022,-3.254,-2.516
47,1,-13,37.892,-3.224,1.630
47,2,11,26.471,-3.742,-2.758
47,3,-11,39.555,-3.592,-2.095
48,0,-13,32.167,-1.543,1.106
48,1,13,53.885,-2.603,-1.490
48,2,13,29.900,-2.328,-1.472
48,3,-13,1.575,0.345,2.888
48,4,11,0.092,0.874,0.762
48,5,-11,0.320,0.771,0.611
49,0,11,2.193,3.628,-2.178
49,1,-11,23.795,1.653,-0.356
49,2,11,36.430,3.345,-0.228
49,3,-11,34.609,1.846,-2.931
49,4,11,0.023,-4.914,0.710
49,5,-11,0.090,-4.897,0.676
50,0,-11,0.306,-2.651,2.762
50,1,11,12.838,-0.064,-0.030
50,2,13,14.068,-3.405,0.617
50,3,-13,25.635,-0.366,-2.307
50,4,11,0.290,-1.754,-0.417
50,5,11,0.041,6.054,-0.093
50,6,-11,0.023,6.501,-0.240
51,0,13,27.115,1.861,-2.524
51,1,-13,55.512,0.573,1.156
51,2,11,17.527,0.125,-0.516
51,3,-11,5.344,1.016,-2.102
51,4,11,0.676,2.555,2.740
51,5,11,0.067,-1.609,-0.802
51,6,-11,0.205,-1.598,-0.807
52,0,13,35.730,-1.453,0.671
52,1,-13,18.990,-1.806,1.282
52,2,13,71.212,-1.005,0.206
52,3,-13,21.412,-1.912,-2.709
52,4,11,0.139,-4.862,-1.112
52,5,-11,0.182,-4.858,-1.097
52,6,11,0.022,-2.324,2.127
52,7,-11,0.028,-2.464,1.925
52,8,-11,0.116,-2.240,2.649
52,9,11,0.014,-0.993,1.006
52,10,-11,0.007,-2.160,0.876
52,11,11,0.192,0.137,-2.968
52,12,-11,0.187,0.136,-2.968
53,0,11,34.698,-0.759,-2.304
53,1,-11,47.943,-2.077,-0.139
53,2,11,1.838,-2.663,2.548
53,3,-11,20.439,-2.529,0.391
54,0,-11,2.107,2.915,-0.448
54,1,11,41.298,0.750,1.365
54,2,11,23.884,-0.426,-3.051
54,3,-11,39.857,1.442,1.429
55,0,-11,18.951,-0.283,1.072
55,1,11,16.661,0.542,-0.266
55,2,11,51.771,0.555,1.501
55,3,-11,40.513,0.234,-1.162
56,0,13,32.702,0.961,0.305
56,1,-13,50.424,-0.153,-2.272
56,2,-11,8.438,-0.685,-3.134
56,3,11,14.092,-0.443,0.489
56,4,11,0.012,5.366,1.397
56,5,-11,0.114,5.368,1.445
57,0,11,31.182,-0.165,2.473
57,1,-11,25.277,0.425,2.051
57,2,13,66.828,-0.614,1.574
57,3,-13,19.837,1.156,-3.029
57,4,11,0.036,1.227,1.811
57,5,-11,0.002,-0.412,2.689
57,6,11,0.160,3.925,-1.859
57,7,-11,0.057,3.925,-1.876
58,0,-13,24.117,-2.460,2.273
58,1,13,96.989,-1.389,2.468
58,2,-11,8.301,-0.792,-2.288
58,3,11,17.776,0.086,2.606
58,4,11,0.358,1.334,-0.679
58,5,-11,0.167,1.325,-0.687
59,0,-11,7.595,-0.038,-1.726
59,1,11,43.512,-0.919,2.863
59,2,11,59.775,-0.220,-2.859
59,3,-11,109.102,-0.946,2.786
59,4,11,0.326,-0.756,-1.209
59,5,-11,0.161,-0.735,-1.213
59,6,11,0.131,1.321,2.373
59,7,-11,0.005,1.188,-3.042
59,8,11,0.408,2.503,-0.734
59,9,-11,0.134,2.493,-0.767
59,10,11,0.362,-0.110,0.203
59,11,-11,0.412,0.040,0.131
60,0,11,20.502,-0.264,-0.665
60,1,-11,20.396,-0.346,-2.436
60,2,13,43.509,0.341,-3.138
60,3,-13,32.499,-0.807,-0.486
60,4,11,0.123,-2.231,-1.944
60,5,-11,0.047,-2.325,-2.112
60,6,11,0.237,-2.589,0.851
60,7,-11,0.103,-2.582,0.858
60,8,-11,0.249,1.034,-0.255
61,0,11,16.267,-0.037,-2.558
61,1,-11,110.641,1.364,2.728
61,2,-11,41.548,0.625,2.487
61,3,11,13.941,0.383,-2.996
61,4,11,0.038,-5.789,-2.093
61,5,-11,0.361,-5.801,-2.086
61,6,11,0.049,2.821,-0.055
61,7,-11,0.020,2.750,0.167
61,8,-11,2.548,-1.059,-0.060
62,0,-11,31.702,-1.493,-1.355
62,1,11,68.513,-2.093,0.371
62,2,11,13.230,-0.766,-1.533
62,3,-11,4.579,0.304,3.012
62,4,11,0.172,3.783,1.293
62,5,-11,0.225,3.733,1.268
62,6,11,0.050,3.167,3.018
62,7,-11,0.005,2.870,1.952
63,0,13,4.741,4.606,2.464
63,1,-13,5.458,1.173,-2.461
63,2,13,53.110,2.647,0.742
63,3,-13,45.134,2.694,-1.713
63,4,-11,0.750,2.124,-1.875
63,5,11,0.025,-3.234,0.146
63,6,-11,0.572,-3.473,0.092
63,7,11,0.715,-1.619,2.732
63,8,-13,4.212,-0.439,1.766
63,9,11,0.030,-2.587,3.065
63,10,-11,0.023,-1.622,2.171
64,0,-13,9.559,-1.420,1.224
64,1,13,36.926,1.675,-0.864
64,2,13,3.810,2.028,-0.131
64,3,-13,18.452,0.113,2.773
65,0,-11,20.663,-1.356,-0.467
65,1,11,17.387,-0.869,-1.621
65,2,11,58.778,-1.209,-1.850
65,3,-11,34.218,-1.416,1.634
65,4,11,0.066,-4.535,0.227
65,5,-11,0.024,-4.838,-0.734
65,6,11,0.038,3.385,1.986
65,7,-11,0.103,3.221,2.227
65,8,11,0.046,4.535,-1.161
65,9,-11,0.020,4.074,-1.132
66,0,13,59.460,1.329,0.536
66,1,-13,33.151,0.752,-3.081
66,2,11,6.874,2.570,-2.134
66,3,-11,14.988,1.524,-2.856
66,4,11,0.271,5.629,-1.108
66,5,-11,0.371,5.647,-1.111
66,6,11,0.015,-0.293,2.709
66,7,-11,0.018,-0.228,2.610
67,0,-11,17.288,1.565,1.117
67,1,11,8.062,0.862,-1.048
67,2,13,27.629,2.009,-1.999
67,3,-13,10.732,-1.299,2.335
67,4,11,0.129,0.199,-1.774
67,5,-11,0.007,0.373,-2.018
68,0,-11,33.556,1.000,-1.732
68,1,11,7.436,-0.607,2.965
68,2,-11,34.248,0.457,1.806
68,3,11,34.106,1.435,-1.283
68,4,-11,0.063,0.498,0.272
68,5,13,11.085,0.281,0.338
68,6,11,0.017,-5.866,0.849
68,7,-11,0.025,-4.998,0.753
69,0,11,9.755,1.180,1.177
69,1,-11,15.663,3.230,0.672
69,2,-11,45.241,2.681,2.057
69,3,11,50.840,2.689,-0.437
69,4,11,0.334,2.728,1.814
69,5,-11,0.155,2.723,1.810
69,6,-11,0.015,2.755,-3.068
69,7,11,0.038,2.735,-3.110
70,0,11,8.687,1.339,-2.382
70,1,-11,36.899,-1.887,2.889
70,2,13,17.560,-1.479,2.434
70,3,-13,16.951,-0.814,0.832
70,4,11,0.012,-1.904,0.243
70,5,-11,0.141,-1.880,0.092
70,6,11,0.006,-6.593,1.575
70,7,-11,0.043,-6.551,1.452
70,8,11,0.028,-1.042,1.774
70,9,-11,0.048,-1.534,-2.905
71,0,11,36.912,-0.131,-0.335
71,1,-11,50.867,0.729,2.333
71,2,13,6.372,-0.870,0.425
71,3,-13,18.710,0.141,-2.373
72,0,-11,124.651,-0.023,-2.230
72,1,11,98.312,-0.112,-1.472
72,2,11,18.491,-0.029,-1.251
72,3,-11,8.224,-0.419,2.615
72,4,11,0.380,-1.062,0.631
72,5,-11,0.241,-0.985,0.607
73,0,11,25.906,3.609,-2.439
73,1,-11,27.395,1.345,1.329
73,2,13,6.674,0.680,-2.471
73,3,-13,15.258,1.904,0.648
74,0,13,41.217,-2.421,-2.107
74,1,-13,31.287,-0.983,1.132
74,2,11,8.636,-3.049,1.106
74,3,-11,13.744,-1.089,-0.004
74,4,11,0.049,9.654,1.660
74,5,-11,0.138,9.846,1.542
75,0,13,31.877,-1.814,2.556
75,1,-13,34.375,-0.107,-0.555
75,2,13,11.871,0.285,-1.379
75,3,-13,4.955,-2.470,0.927
75,4,11,0.057,-1.800,2.422
75,5,-11,0.012,-1.855,2.285
76,0,-13,18.746,-1.076,0.643
76,1,13,34.708,-0.910,2.010
76,2,13,21.699,-2.388,0.777
76,3,-13,58.329,-0.559,2.222
76,4,11,0.197,1.850,-0.965
76,5,-11,0.026,1.861,-0.817
77,0,-13,14.934,-2.021,-0.459
77,1,13,7.112,-3.507,-0.206
77,2,-11,44.741,-1.658,3.118
77,3,11,43.272,-2.986,-1.627
77,4,11,0.255,-0.466,-0.244
77,5,-11,0.278,-0.498,0.052
78,0,-11,54.408,-3.371,1.577
78,1,11,18.348,-2.013,-1.676
78,2,11,6.405,-3.734,-2.172
78,3,-11,17.351,-4.417,-0.651
78,4,11,0.055,0.478,1.107
78,5,-11,0.050,0.253,0.919
79,0,-11,20.864,-0.728,-1.620
79,1,11,7.188,-0.680,0.652
79,2,13,10.772,2.160,-2.845
79,3,-13,42.558,-0.543,-0.008
80,0,11,18.087,-1.686,0.577
80,1,-11,16.540,-1.497,-0.394
80,2,13,17.657,0.508,3.105
80,3,-13,15.201,1.214,1.006
81,0,-11,38.002,1.249,0.840
81,1,11,53.003,2.570,-0.715
81,2,-11,11.491,1.003,2.729
81,3,11,7.105,2.596,-0.770
81,4,11,0.119,-2.824,0.976
81,5,-11,0.243,-2.848,0.958
81,6,11,0.103,2.510,-0.654
81,7,-11,0.109,2.480,-0.654
82,0,13,10.177,-0.840,0.471
82,1,-13,19.518,-0.488,-1.294
82,2,13,40.416,-0.486,-2.513
82,3,-13,49.243,0.080,0.933
82,4,13,1.238,-0.346,0.414
82,5,11,0.040,-5.413,-0.320
82,6,-11,0.058,-5.392,-0.313
82,7,11,0.058,-5.106,3.112
82,8,-11,0.013,-5.213,-3.113
83,0,11,31.124,-0.483,3.102
83,1,-11,7.534,-0.863,0.066
83,2,13,49.273,-0.218,-0.076
83,3,-13,36.944,0.184,1.760
84,0,-11,3.479,1.197,2.284
84,1,11,54.125,1.968,-2.177
84,2,13,17.370,3.302,0.493
84,3,-13,71.652,1.786,-2.199
84,4,11,0.646,-0.819,0.808
84,5,-11,1.177,-0.816,0.810
84,6,11,0.003,-9.940,-2.321
84,7,-11,0.009,-9.828,-2.231
85,0,11,55.985,1.422,-0.231
85,1,-11,20.313,0.529,-0.034
85,2,11,31.864,2.056,-0.588
85,3,-11,118.706,0.787,0.008
