event,lepton_index,pid,pT,eta,phi
0,0,|,|,|,|
0,1,|,|,|,|
0,2,|,|,|,|
0,3,|,|,|,|
0,4,|,|,|,|
0,5,|,|,|,|
0,6,|,|,|,|
0,7,|,|,|,|
0,8,|,|,|,|
0,9,|,|,|,|
0,10,|,|,|,|
0,11,|,|,|,|
0,12,|,|,|,|
0,13,|,|,|,|
0,14,|,|,|,|
249,6,-11,0.050,-3.950,2.609
250,0,13,7.850,0.306,2.604
250,1,-13,38.250,-1.187,1.753
250,2,-13,14.485,0.073,3.113
250,3,13,129.938,-1.114,1.394
250,4,11,0.218,-4.166,-2.453
250,5,-11,0.433,-4.167,-2.453
251,0,-13,35.090,3.599,-2.076
251,1,13,31.148,1.736,0.172
251,2,13,11.453,2.293,-1.162
251,3,-13,11.604,1.166,-1.845
251,4,11,0.109,-1.453,0.983
251,5,-11,0.149,-1.493,1.032
252,0,-13,3.842,0.099,-0.323
252,1,13,17.677,-0.796,1.479
252,2,-13,48.606,-1.345,2.021
252,3,13,36.556,-2.119,-1.462
253,0,-13,39.660,-0.956,0.145
253,1,13,23.894,-0.428,2.862
253,2,-11,32.739,0.161,-0.346
253,3,11,23.224,-0.206,0.351
253,4,11,0.134,1.075,1.766
253,5,-11,0.019,1.103,1.659
253,6,11,0.578,-1.219,-3.019
253,7,11,0.047,2.962,-1.789
253,8,-11,0.002,3.011,-2.594
254,0,-13,14.927,0.706,0.245
254,1,13,8.457,2.061,1.094
254,2,-11,58.572,0.273,2.207
254,3,11,26.781,1.165,-0.833
254,4,13,0.182,-6.837,2.240
254,5,-11,4.253,-2.156,2.896
254,6,-13,4.030,2.437,-1.574
255,0,-11,71.862,-0.316,-3.053
255,1,11,28.795,-0.639,-0.311
255,2,13,11.361,0.044,0.784
255,3,-13,14.518,-1.094,-1.658
255,4,11,0.091,6.861,-0.963
255,5,-11,0.234,7.159,-1.407
256,0,13,25.713,1.175,1.398
256,1,-13,19.752,0.936,-0.958
256,2,11,21.215,1.389,2.040
256,3,-11,61.648,0.919,-1.157
256,4,11,0.017,-3.544,-0.757
256,5,-11,0.317,-3.452,-0.798
257,0,11,37.157,-0.472,2.597
257,1,-11,46.779,-1.134,-0.541
257,2,13,14.660,-0.829,-2.739
257,3,-13,18.079,-1.209,1.154
257,4,11,0.498,1.657,2.140
257,5,-11,0.106,1.673,2.116
257,6,11,0.020,2.015,0.673
257,7,-11,0.086,2.297,0.824
257,8,11,0.087,-5.235,2.717
257,9,-11,0.057,-5.381,2.700
257,10,11,0.116,5.566,0.144
257,11,-11,0.023,5.509,0.154
257,12,11,0.133,3.432,-0.074
257,13,-11,0.015,3.267,-0.729
258,0,13,51.792,-1.566,2.186
258,1,-13,24.329,-3.023,-3.105
258,2,-11,12.282,-2.837,-2.700
258,3,11,52.958,-1.274,2.924
258,4,11,0.026,-0.894,2.707
259,0,13,17.574,-4.277,2.184
259,1,-13,31.112,-3.402,-2.839
259,2,-11,13.279,-3.212,-0.627
259,3,11,45.718,-2.479,1.578
260,0,11,39.116,-0.032,-2.085
260,1,-11,20.943,-2.018,1.381
260,2,13,3.773,-0.145,0.231
260,3,-13,7.476,1.385,2.710
261,0,11,6.451,-0.183,2.683
261,1,-11,18.747,-0.587,-1.151
261,2,-13,14.977,-1.913,0.509
261,3,13,71.539,-0.065,-1.838
261,4,11,3.745,-2.577,1.654
261,5,-11,4.023,-2.576,1.651
262,0,13,20.967,1.269,0.320
262,1,-13,9.692,2.383,-2.119
262,2,-13,44.155,0.509,1.726
262,3,13,4.509,4.030,-2.058
262,4,11,0.191,-0.846,-0.340
262,5,-11,0.061,-0.864,-0.369
262,6,11,0.030,0.116,0.985
262,7,-11,0.014,1.693,0.509
263,0,-11,24.728,-1.009,-0.231
263,1,11,5.748,0.300,2.576
263,2,13,30.953,-0.869,-0.705
263,3,-13,53.388,-0.285,2.987
263,4,11,0.332,-7.127,-1.582
263,5,-11,0.025,-7.095,-1.479
264,0,13,17.806,-0.373,0.461
264,1,-13,15.108,0.486,1.990
264,2,-13,41.110,0.721,-1.121
264,3,13,47.065,0.070,1.720
264,4,11,0.065,-0.154,2.528
264,5,-11,0.028,-0.415,2.822
265,0,11,16.802,2.776,-0.546
265,1,-11,58.382,0.833,2.447
265,2,13,12.618,1.947,-1.626
265,3,-13,11.345,1.975,1.261
265,4,11,0.012,3.136,-1.271
265,5,-11,0.135,3.294,-1.305
265,6,11,0.221,-3.291,0.918
265,7,-11,0.006,-3.233,0.820
266,0,13,38.712,0.990,0.891
266,1,-13,12.836,1.209,1.777
266,2,13,26.631,1.815,-1.426
266,3,-13,40.261,0.950,-2.846
267,0,13,9.946,-1.664,-1.766
267,1,-13,27.889,-1.480,-2.593
267,2,11,131.210,-1.523,2.795
267,3,-11,65.132,-2.047,-2.614
267,4,11,1.857,2.218,-0.841
268,0,13,17.226,3.599,2.491
268,1,-13,10.849,-0.150,-1.439
268,2,11,21.109,2.240,-0.665
268,3,-11,11.740,1.706,2.733
269,0,11,42.191,-1.154,-1.643
269,1,-11,51.072,-2.185,-1.265
269,2,11,17.254,-0.069,-1.953
269,3,-11,3.852,-3.858,-1.016
270,0,13,21.732,2.941,0.581
270,1,-13,15.659,-0.152,-0.758
270,2,-13,24.727,1.686,0.867
270,3,13,14.831,0.800,-1.215
270,4,11,0.013,-0.886,0.751
270,5,-11,0.027,-0.820,0.710
271,0,11,8.878,0.464,0.462
271,1,-11,11.130,-0.247,-1.023
271,2,-11,29.850,1.595,0.945
271,3,11,57.882,0.598,-2.437
272,0,13,9.652,-0.127,-0.798
272,1,-13,30.486,-2.149,-1.736
272,2,13,11.299,0.414,-2.018
272,3,-13,25.453,-2.685,-2.291
272,4,11,0.009,3.194,-1.892
272,5,-11,0.022,2.905,-1.982
272,6,-13,7.375,-0.889,1.961
273,0,-13,44.169,-0.617,1.562
273,1,13,29.948,0.671,-1.808
273,2,11,15.646,-1.382,-1.415
273,3,-11,7.705,-0.251,-0.609
273,4,-13,0.795,-6.095,0.926
273,5,11,0.060,2.873,0.334
273,6,-11,0.010,4.330,-0.973
273,7,11,0.329,-2.858,-0.136
273,8,-11,0.235,-2.860,-0.116
274,0,11,31.536,-1.879,2.804
274,1,-11,14.609,0.899,-1.196
274,2,13,10.932,-1.590,0.035
274,3,-13,20.455,-0.681,-1.525
275,0,13,5.284,0.889,-1.215
275,1,-13,20.095,2.773,2.817
275,2,13,46.751,2.560,-2.757
275,3,-13,39.555,3.266,-0.295
276,0,13,43.883,1.531,2.776
276,1,-13,8.483,2.492,2.464
276,2,-11,36.332,1.296,-1.221
276,3,11,41.636,1.184,2.125
276,4,11,0.064,-6.941,-3.068
276,5,-11,0.014,-6.948,-3.052
277,0,-11,59.334,0.790,-1.058
277,1,11,30.925,0.185,1.981
277,2,11,18.821,0.710,2.716
277,3,-11,8.059,1.578,-2.905
277,4,11,0.012,-4.186,-3.079
277,5,-11,0.127,-4.151,1.849
277,6,11,0.432,-1.868,-2.786
277,7,-11,0.067,-1.681,-2.794
277,8,11,0.011,-0.744,-0.385
277,9,-11,0.106,-0.815,-0.488
278,0,11,31.891,-2.150,1.517
278,1,-11,45.518,-2.337,-2.490
278,2,11,23.921,-1.442,0.649
278,3,-11,16.469,-2.083,-0.225
278,4,11,0.014,0.001,1.580
278,5,-11,0.003,0.009,1.603
278,6,11,0.015,-5.912,2.513
278,7,-11,0.208,-5.854,2.475
279,0,-11,20.054,1.743,0.030
279,1,11,5.334,1.600,-1.595
279,2,11,21.436,-0.009,2.203
279,3,-11,28.419,2.745,2.223
279,4,11,0.219,2.698,-3.135
279,5,-11,0.171,2.706,-3.126
279,6,11,0.106,2.065,0.114
279,7,-11,0.013,2.004,0.160
279,8,11,0.002,5.376,-1.513
279,9,-11,0.035,5.509,-1.700
280,0,11,29.574,-1.668,0.965
280,1,-11,53.650,-1.589,-2.348
280,2,13,14.822,-2.046,-2.168
280,3,-13,16.276,-2.999,-0.108
281,0,13,42.539,-1.734,-0.767
281,1,-13,40.351,-0.986,2.743
281,2,13,4.407,-0.195,1.543
281,3,-13,13.352,-2.824,1.162
281,4,11,0.431,5.296,-0.349
281,5,-11,0.256,5.239,-0.271
281,6,11,0.039,0.703,0.058
281,7,-11,0.003,0.988,-2.835
282,0,-13,37.947,1.402,-2.712
282,1,13,33.335,3.000,1.162
282,2,11,13.150,3.117,2.816
282,3,-11,8.575,1.103,-0.608
282,4,11,0.015,3.275,0.558
282,5,-11,0.130,3.332,0.610
283,0,13,3.474,4.364,3.108
283,1,-13,18.046,1.714,0.528
283,2,-11,16.355,1.037,-2.517
283,3,11,22.671,3.896,0.373
283,4,11,0.013,6.529,0.166
283,5,-11,0.007,6.352,-0.028
284,0,-11,39.894,0.092,2.262
284,1,11,50.431,-0.125,-1.078
284,2,11,12.933,0.605,1.926
284,3,-11,13.486,-0.899,-0.269
284,4,11,1.064,-3.305,2.716
284,5,-11,1.145,-3.330,2.702
285,0,13,8.508,0.200,2.759
285,1,-13,22.416,0.537,1.372
285,2,11,28.266,-0.059,-0.602
285,3,-11,22.132,2.453,1.206
285,4,11,2.217,0.704,-1.516
285,5,-11,1.994,0.707,-1.514
286,0,13,9.699,0.033,2.462
286,1,-13,53.424,2.253,-0.767
286,2,13,7.714,2.779,-1.857
286,3,-13,12.796,0.104,0.930
286,4,11,0.223,-1.475,-2.231
286,5,-11,0.088,-1.469,-2.220
286,6,11,0.038,-2.734,0.942
286,7,-11,0.038,-2.835,0.936
287,0,11,12.288,-0.774,3.011
287,1,-11,35.357,-3.390,0.399
287,2,-13,5.086,-1.037,1.837
287,3,13,8.174,-3.857,-2.500
287,4,11,0.009,2.523,-0.439
287,5,-11,0.123,2.581,-0.440
287,6,11,0.059,6.227,1.911
287,7,-11,0.148,6.225,1.868
288,0,13,10.177,1.269,2.493
288,1,-13,19.348,1.002,-1.556
288,2,11,36.085,1.490,-0.874
288,3,-11,48.166,2.027,2.264
289,0,13,38.801,3.911,0.150
289,1,-13,16.840,2.695,-2.919
289,2,-13,32.364,4.411,2.783
289,3,13,7.095,2.020,0.819
289,4,13,1.099,-3.006,-1.984
290,0,13,24.388,-2.633,0.432
290,1,-13,9.990,-2.127,1.062
290,2,-11,41.821,-2.982,-1.089
290,3,11,37.743,-1.885,2.301
290,4,11,0.003,-0.445,-1.467
290,5,-11,0.159,-0.008,-0.780
290,6,-13,0.583,4.192,1.150
290,7,13,1.005,-2.096,-2.692
290,8,11,0.090,-4.046,2.360
290,9,-11,0.171,-4.195,2.033
290,10,11,0.036,-3.009,-2.674
290,11,-11,0.176,-3.003,-2.645
290,12,11,0.291,-2.263,-1.765
291,0,13,46.212,0.355,0.053
291,1,-13,48.288,0.252,-2.547
291,2,13,9.050,-0.096,-2.579
291,3,-13,10.856,1.689,1.404
291,4,11,0.015,-0.672,-1.754
291,5,-11,0.159,-1.271,-1.797
291,6,13,5.413,-3.264,2.494
291,7,-11,0.833,-3.227,2.692
292,0,11,37.661,3.227,2.449
292,1,-11,50.353,2.948,-0.383
292,2,-11,10.012,2.201,-0.325
292,3,11,11.884,1.442,-1.463
293,0,11,6.079,0.245,-0.766
293,1,-11,27.496,0.912,2.952
293,2,13,33.936,1.255,-2.988
293,3,-13,53.044,0.671,0.250
293,4,11,0.007,-2.789,1.056
293,5,-11,0.047,-2.115,1.227
293,6,11,0.098,-6.656,-0.193
293,7,-11,0.031,-6.645,-0.408
293,8,11,0.043,0.461,-0.974
293,9,-11,0.072,0.499,-1.124
294,0,13,16.031,-1.227,0.537
294,1,-13,5.199,0.521,0.371
294,2,11,38.739,-1.801,-0.796
294,3,-11,39.786,-1.305,2.384
295,0,13,39.791,1.131,1.733
295,1,-13,44.616,0.454,-1.859
295,2,13,5.812,1.558,-1.414
295,3,-13,26.419,1.149,0.207
295,4,11,0.061,-5.448,2.050
295,5,-11,0.110,-5.856,2.437
296,0,13,5.789,1.886,2.269
296,1,-13,13.318,3.758,-2.400
296,2,13,70.312,2.208,3.138
296,3,-13,20.675,1.077,-0.830
296,4,11,0.085,2.438,1.852
296,5,-11,0.131,2.398,1.887
296,6,11,0.081,-2.037,1.369
296,7,-11,0.036,-2.099,1.357
296,8,11,0.027,4.484,2.841
296,9,-11,0.045,4.441,2.832
296,10,11,0.187,-3.348,1.311
296,11,-11,0.112,-3.427,1.350
297,0,11,20.319,1.674,0.841
297,1,-11,71.223,-0.100,2.055
297,2,-13,6.068,0.405,-2.244
297,3,13,26.081,0.926,0.766
297,4,11,0.158,3.201,2.561
297,5,-11,0.051,2.572,2.361
297,6,11,0.025,-1.912,-2.644
297,7,-11,0.024,-1.802,-2.521
297,8,11,0.034,-1.353,-2.471
297,9,-11,0.150,-1.283,-2.181
298,0,11,9.643,3.304,-1.482
298,1,-11,33.953,3.773,-1.207
298,2,-11,13.383,4.783,1.942
298,3,11,44.685,3.965,1.532
298,4,11,0.005,-1.952,3.061
298,5,-11,0.066,-1.607,-2.955
299,0,-13,13.773,0.286,-0.656
299,1,13,45.205,-0.560,1.244
299,2,-13,9.676,-2.149,-1.977
299,3,13,25.638,0.190,-3.011
300,0,11,33.836,-3.020,-2.973
300,1,-11,48.863,-1.919,-0.492
300,2,-11,18.787,-3.204,0.936
300,3,11,6.777,-2.721,2.275
300,4,11,0.172,-4.479,-0.745
300,5,-11,0.041,-4.355,-0.645
301,0,11,55.891,0.216,-2.684
301,1,-11,44.569,1.431,2.128
301,2,11,18.020,0.333,3.045
301,3,-11,12.594,0.996,-1.132
301,4,11,0.223,-7.228,0.104
301,5,-11,0.162,-7.224,0.137
302,0,-11,52.157,0.923,-1.109
302,1,11,40.293,1.070,2.124
302,2,11,28.325,1.418,-0.828
302,3,-11,5.375,1.882,2.988
302,4,11,0.157,6.341,-2.922
302,5,-11,0.062,6.332,-2.863
302,6,11,0.067,-3.434,-1.412
302,7,-11,0.219,-3.445,-1.059
303,0,-11,55.194,-2.790,2.280
303,1,11,29.926,-1.761,-1.567
303,2,11,13.236,-3.083,-0.504
303,3,-11,14.180,-1.624,2.932
303,4,11,0.034,-2.184,1.284
303,5,-11,0.078,-2.226,1.188
303,6,11,0.235,1.530,1.088
303,7,-11,0.108,1.517,1.076
303,8,11,0.057,-3.779,2.395
303,9,-11,0.065,-3.505,2.483
304,0,13,4.396,-0.154,0.282
304,1,-13,18.825,-1.952,-2.348
304,2,-13,36.743,-0.412,1.202
304,3,13,18.607,-2.592,-1.842
305,0,-13,16.769,0.516,-2.547
305,1,13,107.300,0.611,3.021
305,2,11,198.636,0.760,-3.030
305,3,-11,59.410,-0.003,3.013
306,0,13,50.483,-0.632,0.709
306,1,-13,3.829,-3.582,-2.496
306,2,-11,37.155,0.301,1.070
306,3,11,2.217,-2.345,-1.714
306,4,11,0.004,-0.143,-0.986
306,5,-11,0.006,0.943,-0.861
307,0,13,67.589,0.373,-0.296
307,1,-13,21.988,1.388,-3.129
307,2,11,12.399,1.594,2.997
307,3,-11,10.795,0.243,1.816
308,0,11,4.501,0.909,-0.559
308,1,-11,12.529,-0.700,-0.752
308,2,-11,43.667,-0.982,2.534
308,3,11,18.868,-2.787,-0.966
309,0,11,7.425,1.017,1.932
309,1,-11,22.770,1.370,-2.662
309,2,-11,48.180,0.967,-1.214
309,3,11,43.799,1.431,1.443
310,0,13,3.655,-0.718,1.329
310,1,-13,29.360,1.040,-2.438
310,2,13,24.780,-0.500,-0.457
310,3,-13,11.163,-1.093,-1.274
310,4,11,0.018,-0.111,2.722
310,5,-11,0.068,-0.094,2.748
310,6,11,0.019,-4.684,-2.302
310,7,-11,0.241,-4.721,-2.289
311,0,-13,17.359,0.509,-2.044
311,1,13,7.292,-1.194,0.228
311,2,-13,61.161,0.113,-2.189
311,3,13,69.624,-0.521,-1.322
312,0,13,13.959,1.103,3.121
312,1,-13,15.504,1.650,2.355
312,2,13,35.929,0.117,0.588
312,3,-13,30.188,1.848,-2.054
313,0,13,87.973,-0.870,0.771
313,1,-13,25.097,-1.197,-2.272
313,2,13,9.202,0.213,-0.354
313,3,-13,7.611,-2.180,0.031
313,4,11,0.036,8.492,-0.966
313,5,-11,0.014,8.426,-0.937
314,0,11,6.425,2.424,-1.847
314,1,-11,14.571,2.952,0.863
314,2,11,41.248,1.509,0.122
314,3,-11,41.359,2.407,3.130
315,0,-13,38.987,-0.067,-2.226
315,1,13,50.493,0.090,0.625
315,2,13,8.239,-1.273,1.337
315,3,-13,15.782,0.867,0.228
315,4,11,0.216,3.924,2.368
315,5,-11,0.208,3.908,2.350
315,6,11,0.258,1.425,0.176
315,7,-11,0.087,1.449,0.164
316,0,-13,12.350,-1.127,0.457
316,1,13,12.850,-0.667,2.209
316,2,-11,47.235,0.517,1.836
316,3,11,21.686,-1.237,-0.864
316,4,11,0.014,-1.200,0.954
316,5,-11,0.073,-1.726,-1.500
317,0,11,43.059,-1.057,-1.861
317,1,-11,8.261,-4.269,-1.301
317,2,11,20.620,-1.328,2.327
317,3,-11,4.159,-1.591,-0.559
317,4,11,0.501,2.870,-1.676
317,5,11,0.377,-2.450,-1.181
317,6,-11,0.267,-2.453,-1.192
317,7,11,0.092,-0.898,-0.164
317,8,-11,0.048,-0.913,-0.184
318,0,11,23.913,3.065,2.734
318,1,-11,14.646,0.453,0.597
318,2,13,20.704,2.724,2.267
318,3,-13,33.538,1.790,0.556
318,4,11,0.180,0.877,-1.191
318,5,-11,0.404,0.876,-1.179
319,0,11,15.277,-1.769,-3.095
319,1,-11,32.320,-0.766,1.715
319,2,-13,15.971,-2.754,2.417
319,3,13,37.763,-1.312,-1.043
320,0,-13,18.546,-1.162,1.808
320,1,13,4.074,-2.357,-0.529
320,2,13,30.728,0.116,2.760
320,3,-13,51.679,-0.925,-1.016
321,0,-11,19.028,3.013,-2.496
321,1,11,44.110,2.447,1.137
321,2,11,3.992,1.985,-0.657
321,3,-11,14.696,0.383,-1.929
321,4,11,0.521,-3.763,-2.411
321,5,-11,0.258,-3.748,-2.401
321,6,11,0.065,-0.972,1.879
321,7,-11,0.003,-0.899,1.853
322,0,13,9.875,1.030,-2.594
322,1,-13,19.457,0.142,2.611
322,2,11,18.406,-0.992,0.920
322,3,-11,12.329,2.522,0.501
322,4,11,0.094,5.302,1.198
322,5,-11,0.059,5.049,1.215
323,0,13,20.416,2.375,2.610
323,1,-13,6.924,4.233,-1.605
323,2,-13,32.371,3.769,2.070
323,3,13,38.656,1.780,-3.046
323,4,13,1.252,-4.199,0.967
323,5,-13,1.313,-4.173,1.031
323,6,11,0.084,3.626,-0.150
323,7,-11,0.116,3.581,-0.151
324,0,-11,40.759,3.240,-0.312
324,1,11,36.651,2.625,3.042
324,2,13,6.049,1.913,-2.223
324,3,-13,22.056,2.909,1.853
324,4,11,0.150,2.399,-2.105
324,5,-11,0.056,2.406,-2.087
324,6,11,0.660,2.421,2.279
324,7,11,0.110,-4.761,1.753
324,8,-11,0.041,-4.763,1.747
325,0,13,3.714,0.618,1.510
325,1,-13,15.074,-2.082,0.947
325,2,11,49.474,-1.478,2.141
325,3,-11,41.543,-1.826,-1.341
325,4,11,0.066,4.749,2.722
325,5,-11,0.465,4.750,2.803
326,0,13,8.617,-0.527,-0.689
326,1,-13,13.857,-1.269,-2.607
326,2,-11,17.542,-0.407,0.069
326,3,11,40.601,-2.697,2.482
326,4,11,0.461,-6.232,2.185
326,5,-11,0.183,-6.228,2.187
326,6,11,0.046,2.207,-1.804
326,7,-11,0.108,1.834,-1.882
327,0,-11,47.672,1.836,-0.481
327,1,11,39.611,0.927,2.529
327,2,-11,7.412,-0.150,2.192
327,3,11,8.619,0.468,-1.596
327,4,11,0.924,-5.148,2.753
327,5,-11,0.195,-5.368,2.612
327,6,11,0.132,2.267,2.733
327,7,-11,0.014,2.320,2.852
328,0,-13,15.159,-0.356,0.918
328,1,13,13.710,0.699,-1.749
328,2,-13,38.604,-0.285,-0.679
328,3,13,40.338,0.815,2.539
328,4,11,0.241,4.559,-2.288
328,5,-11,0.058,4.632,-2.198
329,0,11,20.283,0.028,1.416
329,1,-11,15.766,-0.004,-1.196
329,2,13,49.193,-0.164,-1.785
329,3,-13,41.727,-0.131,0.952
330,0,11,33.428,0.188,-2.624
330,1,-11,13.611,0.023,-0.412
330,2,-13,43.715,0.543,1.184
330,3,13,24.751,-0.587,-0.844
330,4,11,0.017,0.336,-2.632
330,5,-11,0.006,0.553,-2.485
331,0,-11,45.191,-2.031,-2.520
331,1,11,34.788,-0.822,1.278
331,2,-13,28.859,-1.343,-1.285
331,3,13,3.516,-1.621,-0.094
331,4,11,0.251,6.806,1.603
331,5,-11,0.082,6.874,1.618
331,6,11,0.055,-5.339,-0.050
331,7,-11,0.014,-5.317,-0.035
331,8,11,0.065,-1.577,-2.863
331,9,-11,0.373,-1.581,-2.846
332,0,13,35.290,-0.810,-0.539
332,1,-13,38.209,-2.210,2.015
332,2,13,19.414,-1.099,-0.894
332,3,-13,12.606,-1.562,-2.814
332,4,11,0.291,0.450,-1.788
332,5,-11,0.034,0.328,-1.743
332,6,11,0.018,3.367,1.002
332,7,-11,0.224,3.414,1.287
333,0,11,5.119,-2.430,1.217
333,1,-11,24.177,-0.239,-3.033
333,2,13,37.556,-0.030,1.193
333,3,-13,32.717,-1.287,-1.872
333,4,-13,0.452,1.256,-2.575
333,5,11,0.014,0.038,1.412
333,6,-11,0.034,0.014,0.933
333,7,11,0.175,2.216,-3.123
333,8,-11,0.005,1.505,2.328
334,0,-13,77.304,0.143,1.645
334,1,13,12.885,-1.680,0.013
334,2,13,8.943,1.059,2.604
334,3,-13,24.384,-0.898,1.132
334,4,13,5.688,-2.450,1.129
334,5,11,0.051,0.766,-0.903
334,6,-11,0.220,0.915,-0.962
334,7,11,0.195,0.583,-1.918
334,8,-11,0.035,0.185,-1.976
335,0,11,17.819,0.889,-2.331
335,1,-11,8.909,3.780,2.504
335,2,13,14.424,3.302,0.988
335,3,-13,33.958,1.326,0.300
336,0,13,3.356,-3.901,0.624
336,1,-13,17.932,-4.569,-1.724
336,2,13,39.382,-3.438,0.825
336,3,-13,17.075,-1.609,-2.414
336,4,11,0.197,-3.996,-2.712
336,5,-11,0.041,-4.442,-2.896
336,6,11,0.116,-3.009,-2.849
336,7,-11,0.166,-3.033,-2.599
337,0,13,21.279,0.716,2.757
337,1,-13,73.935,-0.723,-1.582
337,2,11,24.811,-0.027,-1.710
337,3,-11,37.656,-0.638,-1.431
337,4,11,0.095,3.030,1.535
337,5,-11,0.015,3.857,1.452
338,0,-11,33.164,0.954,0.258
338,1,11,44.920,1.509,-2.759
338,2,13,13.614,-0.458,-2.733
338,3,-13,6.828,1.189,-0.733
338,4,11,0.203,-0.358,0.520
338,5,-11,0.084,-0.311,0.476
339,0,13,12.911,-1.191,1.000
339,1,-13,26.601,2.102,1.614
339,2,11,14.736,1.220,-1.352
339,3,-11,0.455,4.745,-0.895
339,4,11,0.041,0.663,-2.050
339,5,-11,0.051,0.773,-2.248
339,6,13,1.842,2.656,-2.658
340,0,-11,11.179,2.600,-0.838
340,1,11,11.146,1.821,-3.051
340,2,11,20.427,4.620,0.577
340,3,-11,25.081,1.962,-2.930
340,4,11,0.293,-3.346,-0.583
340,5,-11,0.161,-3.359,-0.832
340,6,11,0.071,2.770,1.372
340,7,-11,0.002,1.855,-0.895
340,8,11,0.003,-0.161,-1.220
340,9,-11,0.071,-0.617,-1.171
341,0,-11,24.916,0.117,-1.587
341,1,11,34.498,-0.322,2.530
341,2,13,30.279,-0.623,0.279
341,3,-13,34.127,0.131,2.370
341,4,-11,0.121,-3.094,-0.728
342,0,13,26.079,-0.027,2.609
342,1,-13,8.151,-1.662,2.982
342,2,-13,56.595,-0.347,1.927
342,3,13,43.044,0.441,-2.604
342,4,-13,0.534,0.300,-2.519
342,5,11,0.037,0.118,-2.741
342,6,-11,0.130,-0.168,-2.626
343,0,13,10.261,1.442,-1.290
343,1,-13,24.838,1.151,0.699
343,2,11,37.202,2.539,0.955
343,3,-11,15.555,-0.016,-3.079
343,4,11,0.336,3.516,2.440
343,5,-11,0.056,3.479,2.237
344,0,13,12.390,-0.760,0.258
344,1,-13,11.230,0.668,-2.218
344,2,-11,33.635,-0.101,0.578
344,3,11,35.345,1.342,-2.739
344,4,11,0.277,2.367,2.115
344,5,-11,0.353,2.316,2.091
344,6,11,0.133,-6.199,2.676
344,7,-11,0.064,-5.855,2.663
345,0,13,20.763,1.880,1.266
345,1,-13,16.153,0.409,2.690
345,2,13,42.220,1.263,-0.166
345,3,-13,24.378,2.398,-1.956
345,4,11,0.180,4.194,0.248
345,5,-11,0.016,4.072,0.088
345,6,11,0.166,3.018,-1.429
345,7,-11,0.105,2.990,-1.466
346,0,-11,46.215,0.012,-0.397
346,1,11,38.570,-0.305,-2.595
346,2,-13,9.748,0.390,-0.097
346,3,13,11.950,0.043,-3.089
347,0,13,60.213,-0.902,0.616
347,1,-13,128.897,0.109,0.470
347,2,-11,88.515,-0.362,0.766
347,3,11,25.576,-0.072,0.564
348,0,-11,16.703,-0.841,-1.771
348,1,11,38.572,0.228,1.125
348,2,-13,6.747,0.687,-0.876
348,3,13,19.058,-1.170,-1.742
348,4,11,0.016,-4.967,2.806
348,5,-11,0.103,-5.331,2.690
349,0,-13,13.465,1.559,-1.991
349,1,13,38.569,2.230,1.748
349,2,-13,33.685,2.108,-0.621
349,3,13,32.041,2.786,-3.016
349,4,11,0.085,-5.524,-0.970
349,5,-11,0.166,-5.537,-0.964
350,0,13,26.284,-1.010,0.443
350,1,-13,26.324,0.579,-0.709
350,2,13,4.059,1.254,-2.270
350,3,-13,34.668,-1.090,2.695
350,4,11,0.788,1.201,1.256
350,5,-11,0.998,0.131,-0.202
351,0,11,20.131,-0.281,1.771
351,1,-11,34.424,-0.648,0.841
351,2,13,70.846,-1.617,1.500
351,3,-13,15.783,0.473,1.783
351,4,11,0.925,-1.423,-2.367
351,5,-11,0.130,-1.431,-2.368
351,6,11,0.206,2.809,-2.017
351,7,-11,0.156,2.868,-2.070
352,0,-11,6.776,-0.727,2.801
352,1,11,11.339,1.670,-0.431
352,2,-13,6.764,2.867,0.867
352,3,13,15.055,-1.010,-3.060
353,0,-11,60.606,0.868,0.724
353,1,11,38.292,0.732,-1.864
353,2,13,15.602,1.469,0.731
353,3,-13,6.762,2.312,-2.988
354,0,13,15.161,-1.266,-2.851
354,1,-13,29.472,0.747,1.360
354,2,13,19.862,1.244,-2.986
354,3,-13,41.560,0.558,1.513
355,0,13,27.596,-1.252,-0.602
355,1,-13,12.403,1.595,1.572
355,2,-11,20.393,-0.883,-2.282
355,3,11,16.779,0.063,1.857
356,0,-11,15.075,-1.933,1.505
356,1,11,15.912,1.558,0.907
356,2,13,6.154,-1.109,-0.613
356,3,-13,27.681,-0.544,2.915
356,4,11,0.110,3.581,-2.744
356,5,-11,0.256,3.521,-2.703
356,6,11,0.001,-3.380,-1.010
356,7,-11,0.014,-4.150,3.137
357,0,13,61.397,0.852,-1.735
357,1,-13,69.840,1.941,-0.945
357,2,13,4.047,2.922,-1.268
357,3,-13,11.307,0.602,0.359
357,4,11,4.371,2.632,2.253
357,5,-11,2.808,2.637,2.247
358,0,11,29.018,2.406,-2.050
358,1,-11,18.382,2.261,-0.884
358,2,13,67.239,1.879,0.202
358,3,-13,43.462,1.666,-1.106
359,0,11,47.642,0.470,-1.712
359,1,-11,51.716,0.253,2.299
359,2,-11,17.466,-0.219,2.323
359,3,11,23.734,0.283,-2.347
359,4,13,2.560,-2.985,0.748
359,5,11,3.079,2.578,0.527
359,6,-11,0.660,2.578,0.527
359,7,11,0.006,-0.121,-1.058
359,8,-11,0.344,-0.698,-1.193
359,9,11,0.033,-2.210,-1.361
359,10,-11,0.088,-2.233,-1.392
360,0,-11,47.599,-1.505,1.782
